 "mw" , "g" , "gl" ,
 "http://purl.bdrc.io/resource/MW4CZ58838" , "http://purl.bdrc.io/resource/G163" , "rong bo dgon chen/" ,
 "http://purl.bdrc.io/resource/MW23770" , "http://purl.bdrc.io/resource/G287" , "bsam yas dgon pa/" ,
 "http://purl.bdrc.io/resource/MW27215" , "http://purl.bdrc.io/resource/G287" , "bsam yas dgon pa/" ,
 "http://purl.bdrc.io/resource/MW22326" , "http://purl.bdrc.io/resource/G160" , "sku 'bum dgon/" ,
 "http://purl.bdrc.io/resource/MW4CZ74520" , "http://purl.bdrc.io/resource/G160" , "sku 'bum dgon/" ,
 "http://purl.bdrc.io/resource/MW3CN1338" , "http://purl.bdrc.io/resource/G16" , "rdzogs chen dgon/" ,
 "http://purl.bdrc.io/resource/MW3MS471" , "http://purl.bdrc.io/resource/G162" , "bla brang dgon pa/" ,
 "http://purl.bdrc.io/resource/MW1KG10141" , "http://purl.bdrc.io/resource/G162" , "bla brang dgon pa/" ,
 "http://purl.bdrc.io/resource/MW8LS17206" , "http://purl.bdrc.io/resource/G162" , "bla brang dgon pa/" ,
 "http://purl.bdrc.io/resource/MW8LS76293" , "http://purl.bdrc.io/resource/G162" , "bla brang dgon pa/" ,
 "http://purl.bdrc.io/resource/MW23223" , "http://purl.bdrc.io/resource/G506" , "rta nag thub bstan rnam rgyal/" ,
 "http://purl.bdrc.io/resource/MW27414" , "http://purl.bdrc.io/resource/G184" , "sle lung dgon/" ,
 "http://purl.bdrc.io/resource/MW8227" , "http://purl.bdrc.io/resource/G14" , "smin grol gling /" ,
 "http://purl.bdrc.io/resource/MW8LS16572" , "http://purl.bdrc.io/resource/G14" , "smin grol gling /" ,
 "http://purl.bdrc.io/resource/MW8LS16534" , "http://purl.bdrc.io/resource/G14" , "smin grol gling /" ,
 "http://purl.bdrc.io/resource/MW8LS16253" , "http://purl.bdrc.io/resource/G14" , "smin grol gling /" ,
