 "mw" , "pub" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA003001" , "gsal kha med pa/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA003008" , "gsal kha med pa/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA003005" , "gsal kha med pa/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA003017" , "gsal kha med pa/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002953" , "gsal kha med pa/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA003032" , "gsal kha med pa/" ,
 "http://purl.bdrc.io/resource/MW3CN8601" , "sa skya/" ,
 "http://purl.bdrc.io/resource/MW3CN3340" , "sa skya/" ,
 "http://purl.bdrc.io/resource/MW3CN4351" , "sa skya/" ,
 "http://purl.bdrc.io/resource/MW3CN534" , "sa skya/" ,
 "http://purl.bdrc.io/resource/MW2KG210265" , "sa skya/" ,
 "http://purl.bdrc.io/resource/MW2DB4546" , "zhwa lu/" ,
 "http://purl.bdrc.io/resource/MW2DB4544" , "zhwa lu/" ,
 "http://purl.bdrc.io/resource/MW1KG22335" , "bla brang /" ,
 "http://purl.bdrc.io/resource/MW4CZ2710" , "bla brang /" ,
 "http://purl.bdrc.io/resource/MW6937" , "bla brang /" ,
 "http://purl.bdrc.io/resource/MW14076" , "bla brang /" ,
 "http://purl.bdrc.io/resource/MW6956" , "bla brang /" ,
 "http://purl.bdrc.io/resource/MW7014" , "bla brang /" ,
 "http://purl.bdrc.io/resource/MW1KG22379" , "bla brang /" ,
 "http://purl.bdrc.io/resource/MW6958" , "bla brang /" ,
 "http://purl.bdrc.io/resource/MW1KG18483" , "bla brang /" ,
 "http://purl.bdrc.io/resource/MW16139" , "bla brang /" ,
 "http://purl.bdrc.io/resource/MW4CZ302655" , "bla brang /" ,
 "http://purl.bdrc.io/resource/MW1KG10788" , "bla brang /" ,
 "http://purl.bdrc.io/resource/MW1KG8836" , "bla brang /" ,
 "http://purl.bdrc.io/resource/MW6955" , "bla brang /" ,
 "http://purl.bdrc.io/resource/MW6940" , "bla brang /" ,
 "http://purl.bdrc.io/resource/MW6957" , "bla brang /" ,
 "http://purl.bdrc.io/resource/MW6946" , "bla brang /" ,
 "http://purl.bdrc.io/resource/MW1KG89108" , "bla brang /" ,
 "http://purl.bdrc.io/resource/MW7015" , "bla brang /" ,
 "http://purl.bdrc.io/resource/MW6947" , "bla brang /" ,
 "http://purl.bdrc.io/resource/MW6938" , "bla brang /" ,
 "http://purl.bdrc.io/resource/MW22117" , "bla brang /" ,
 "http://purl.bdrc.io/resource/MW6933" , "bla brang /" ,
 "http://purl.bdrc.io/resource/MW1KG21993" , "bla brang /" ,
 "http://purl.bdrc.io/resource/MW2KG201049" , "bla brang /" ,
 "http://purl.bdrc.io/resource/MW6952" , "bla brang /" ,
 "http://purl.bdrc.io/resource/MW12842" , "bla brang /" ,
 "http://purl.bdrc.io/resource/MW6942" , "bla brang /" ,
 "http://purl.bdrc.io/resource/MW1KG8751" , "bla brang /" ,
 "http://purl.bdrc.io/resource/MW6944" , "bla brang /" ,
 "http://purl.bdrc.io/resource/MW1NLM2858" , "bla brang /" ,
 "http://purl.bdrc.io/resource/MW8LS73443" , "bla brang /" ,
 "http://purl.bdrc.io/resource/MW1KG15906" , "bla brang /" ,
 "http://purl.bdrc.io/resource/MW6949" , "bla brang /" ,
 "http://purl.bdrc.io/resource/MW24662" , "bla brang /" ,
 "http://purl.bdrc.io/resource/MW6941" , "bla brang /" ,
 "http://purl.bdrc.io/resource/MW4CZ332959" , "bla brang /" ,
 "http://purl.bdrc.io/resource/MW389" , "bla brang /" ,
 "http://purl.bdrc.io/resource/MW1KG20636" , "bla brang /" ,
 "http://purl.bdrc.io/resource/MW1KG15898" , "bla brang /" ,
 "http://purl.bdrc.io/resource/MW1KG8931" , "bla brang /" ,
 "http://purl.bdrc.io/resource/MW6951" , "bla brang /" ,
 "http://purl.bdrc.io/resource/MW1KG5182" , "bla brang /" ,
 "http://purl.bdrc.io/resource/MW6948" , "bla brang /" ,
 "http://purl.bdrc.io/resource/MW6939" , "bla brang /" ,
 "http://purl.bdrc.io/resource/MW6945" , "bla brang /" ,
 "http://purl.bdrc.io/resource/MW1KG12111" , "bla brang /" ,
 "http://purl.bdrc.io/resource/MW6943" , "bla brang /" ,
 "http://purl.bdrc.io/resource/MW6930" , "bla brang /" ,
 "http://purl.bdrc.io/resource/MW6954" , "bla brang /" ,
