 "mw" , "pub" ,
 "http://purl.bdrc.io/resource/MW1KG1934" , "dpal ri par khang /" ,
 "http://purl.bdrc.io/resource/MW4CZ294739" , "Vajra Vidya Institute" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA003001" , "gsal kha med pa/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002996" , "gsal kha med pa/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA003008" , "gsal kha med pa/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA003025" , "gsal kha med pa/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002988" , "gsal kha med pa/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA003005" , "gsal kha med pa/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA003017" , "gsal kha med pa/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA003085" , "gsal kha med pa/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002953" , "gsal kha med pa/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA003032" , "gsal kha med pa/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA003323" , "bstan 'dzin lam bzang /" ,
 "http://purl.bdrc.io/resource/MW2DB13645" , "bstan 'dzin nyi ma/" ,
 "http://purl.bdrc.io/resource/MW1KG4210" , "rdo rje tshe brtan/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA000475" , "rdo rje tshe brtan/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA000465" , "rdo rje tshe brtan/" ,
 "http://purl.bdrc.io/resource/MW8LS66349" , "grags pa rgyal mtshan/" ,
 "http://purl.bdrc.io/resource/MW8LS66346" , "grags pa rgyal mtshan/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA001573" , "mgon po rdo rje/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002944" , "tshul khrims dpal ldan/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002422" , "tshul khrims dpal ldan/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA001910" , "tshul khrims dpal ldan/" ,
 "http://purl.bdrc.io/resource/MW4CZ74970" , "tshul khrims dpal ldan/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA000435" , "tshul khrims dpal ldan/" ,
 "http://purl.bdrc.io/resource/MW4CZ321197" , "tshul khrims dpal ldan/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA000302" , "kun dga' rin chen/" ,
 "http://purl.bdrc.io/resource/MW1KG20790" , "thabs mkhas rgya mtsho/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA000592" , "blo bzang rgya mtsho/" ,
 "http://purl.bdrc.io/resource/MW1KG23485" , "kun dga' rgyal mtshan/" ,
 "http://purl.bdrc.io/resource/MW1KG13803" , "tshe ring bde skyid/" ,
 "http://purl.bdrc.io/resource/MW1NLM1302" , "blo bzang bkra shis/" ,
 "http://purl.bdrc.io/resource/MW8LS16467" , "blo bzang bkra shis/" ,
 "http://purl.bdrc.io/resource/MW17210" , "shes rab rgyal mtshan/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA000439" , "shes rab rgyal mtshan/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA001244" , "shes rab rgyal mtshan/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA001112" , "shes rab rgyal mtshan/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA000654" , "shes rab rgyal mtshan/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA001172" , "shes rab rgyal mtshan/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA001111" , "shes rab rgyal mtshan/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002103" , "bod gzhung bde srung bod gnas nyams zhib khang /" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002112" , "bod gzhung bde srung bod gnas nyams zhib khang /" ,
 "http://purl.bdrc.io/resource/MW3CN9323" , "bod gzhung bde srung bod gnas nyams zhib khang /" ,
 "http://purl.bdrc.io/resource/MW4CZ328520" , "bod gzhung bde srung bod gnas nyams zhib khang /" ,
 "http://purl.bdrc.io/resource/MW8LS41746" , "bod gzhung bde srung bod gnas nyams zhib khang /" ,
 "http://purl.bdrc.io/resource/MW4CZ332946" , "bod gzhung bde srung bod gnas nyams zhib khang /" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA001695" , "pad+ma 'phrin las/" ,
 "http://purl.bdrc.io/resource/MW3CN15340" , "nam mkha' rdo rje/" ,
 "http://purl.bdrc.io/resource/MW1KG22348" , "dngos grub/" ,
 "http://purl.bdrc.io/resource/MW1KG13106" , "jamyang" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA000864" , "bstan 'dzin rgya mtsho/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA000839" , "a 'dus skal bzang rgya mtsho/" ,
 "http://purl.bdrc.io/resource/MW1KG17130" , "thub bstan rgyal mtshan/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA001118" , "ye shes rgyal mtshan/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA001134" , "ye shes rgyal mtshan/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA001121" , "ye shes rgyal mtshan/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA001119" , "ye shes rgyal mtshan/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA001113" , "ye shes rgyal mtshan/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA001120" , "ye shes rgyal mtshan/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA001114" , "ye shes rgyal mtshan/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA001115" , "ye shes rgyal mtshan/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA001116" , "ye shes rgyal mtshan/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA000722" , "rdo rje rin chen/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA000167" , "rdo rje rin chen/" ,
 "http://purl.bdrc.io/resource/MW1KG23537" , "zla ba bsam 'grub/" ,
 "http://purl.bdrc.io/resource/MW1KG20855" , "be ri bsod nams dbang phyug" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA001390" , "nor gling bod kyi rig gzhung gces skyong khang /" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA000927" , "nor gling bod kyi rig gzhung gces skyong khang /" ,
 "http://purl.bdrc.io/resource/MW1KG16153" , "nor gling bod kyi rig gzhung gces skyong khang /" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002262" , "nor gling bod kyi rig gzhung gces skyong khang /" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002239" , "nor gling bod kyi rig gzhung gces skyong khang /" ,
 "http://purl.bdrc.io/resource/MW1KG23760" , "nor gling bod kyi rig gzhung gces skyong khang /" ,
 "http://purl.bdrc.io/resource/MW8LS43991" , "nor gling bod kyi rig gzhung gces skyong khang /" ,
 "http://purl.bdrc.io/resource/MW8LS34532" , "nor gling bod kyi rig gzhung gces skyong khang /" ,
 "http://purl.bdrc.io/resource/MW1KG16154" , "nor gling bod kyi rig gzhung gces skyong khang /" ,
 "http://purl.bdrc.io/resource/MW1KG23490" , "nor gling bod kyi rig gzhung gces skyong khang /" ,
 "http://purl.bdrc.io/resource/MW4CZ315285" , "nor gling bod kyi rig gzhung gces skyong khang /" ,
 "http://purl.bdrc.io/resource/MW1KG16152" , "nor gling bod kyi rig gzhung gces skyong khang /" ,
 "http://purl.bdrc.io/resource/MW4CZ302685" , "chos 'byor rgya mtsho/" ,
 "http://purl.bdrc.io/resource/MW1KG22266" , "chos 'byor rgya mtsho/" ,
 "http://purl.bdrc.io/resource/MW10238" , "t. g. dhongthog" ,
 "http://purl.bdrc.io/resource/MW30322" , "t. g. dhongthog" ,
 "http://purl.bdrc.io/resource/MW10311" , "t. g. dhongthog" ,
 "http://purl.bdrc.io/resource/MW1KG26087" , "t. g. dhongthog" ,
 "http://purl.bdrc.io/resource/MW1KG26091" , "t. g. dhongthog" ,
 "http://purl.bdrc.io/resource/MW10237" , "t. g. dhongthog" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002982" , "dam chos bzang po/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA001162" , "sangs rgyas rgya mtsho/" ,
 "http://purl.bdrc.io/resource/MW1GS75055" , "sha bo pad+ma rgyal/" ,
 "http://purl.bdrc.io/resource/MW20851" , "ngag dbang tshe ring /" ,
 "http://purl.bdrc.io/resource/MW00EGS1017077" , "dpal ldan tshul khrims/" ,
 "http://purl.bdrc.io/resource/MW8LS16600" , "rnam rgyal phun tshogs/" ,
 "http://purl.bdrc.io/resource/MW23477" , "don 'grub rdo rje/" ,
 "http://purl.bdrc.io/resource/MW23924" , "don 'grub rdo rje/" ,
 "http://purl.bdrc.io/resource/MW00KG09215" , "don 'grub rdo rje/" ,
 "http://purl.bdrc.io/resource/MW11839" , "don 'grub rdo rje/" ,
 "http://purl.bdrc.io/resource/MW14095" , "don 'grub rdo rje/" ,
 "http://purl.bdrc.io/resource/MW11842" , "don 'grub rdo rje/" ,
 "http://purl.bdrc.io/resource/MW14092" , "don 'grub rdo rje/" ,
 "http://purl.bdrc.io/resource/MW14097" , "don 'grub rdo rje/" ,
 "http://purl.bdrc.io/resource/MW11840" , "don 'grub rdo rje/" ,
 "http://purl.bdrc.io/resource/MW14090" , "don 'grub rdo rje/" ,
 "http://purl.bdrc.io/resource/MW14086" , "don 'grub rdo rje/" ,
 "http://purl.bdrc.io/resource/MW14082" , "don 'grub rdo rje/" ,
 "http://purl.bdrc.io/resource/MW11841" , "don 'grub rdo rje/" ,
 "http://purl.bdrc.io/resource/MW14096" , "don 'grub rdo rje/" ,
 "http://purl.bdrc.io/resource/MW14083" , "don 'grub rdo rje/" ,
 "http://purl.bdrc.io/resource/MW14089" , "don 'grub rdo rje/" ,
 "http://purl.bdrc.io/resource/MW14087" , "don 'grub rdo rje/" ,
 "http://purl.bdrc.io/resource/MW11837" , "don 'grub rdo rje/" ,
