rid,pname
W3JT13376,vajra vidya institute
W3JT13379,vajra vidya institute
W3JT13383,vajra vidya institute
W3JT13375,vajra vidya institute
W3JT13378,vajra vidya institute
W3JT13373,vajra vidya institute
W3JT13372,vajra vidya institute
W3JT13371,vajra vidya institute
W3JT13369,vajra vidya institute
W3JT13381,vajra vidya institute
W4CZ294739,vajra vidya institute
W3JT13382,vajra vidya institute
W3JT13377,vajra vidya institute
W3JT13370,vajra vidya institute
W3JT13374,vajra vidya institute
W3JT13380,vajra vidya institute
W2DB13645,bstan 'dzin nyi ma
W1KG22410,ngag dbang bkra shis
W8LS66349,grags pa rgyal mtshan
W8LS66346,grags pa rgyal mtshan
W1KG20790,thabs mkhas rgya mtsho
W1KG23485,kun dga' rgyal mtshan
W1KG13803,tshe ring bde skyid
W8LS16467,blo bzang bkra shis
W17210,shes rab rgyal mtshan
W8LS17345,dpal ldan
W30067,thub bstan shes rab
W22149,blo bzang rgyal mtshan
W4CZ332946,bod gzhung bde srung bod gnas nyams zhib khang
W4CZ328520,bod gzhung bde srung bod gnas nyams zhib khang
W3CN9323,bod gzhung bde srung bod gnas nyams zhib khang
W8LS41746,bod gzhung bde srung bod gnas nyams zhib khang
W3CN15340,nam mkha' rdo rje
W1KG22348,dngos grub
W1KG13106,jamyang
W1KG17130,thub bstan rgyal mtshan
W1KG23537,zla ba bsam 'grub
W1KG16152,nor gling bod kyi rig gzhung gces skyong khang
W1KG16153,nor gling bod kyi rig gzhung gces skyong khang
W1KG23490,nor gling bod kyi rig gzhung gces skyong khang
W1KG16154,nor gling bod kyi rig gzhung gces skyong khang
W8LS34532,nor gling bod kyi rig gzhung gces skyong khang
W8LS43991,nor gling bod kyi rig gzhung gces skyong khang
W1KG23760,nor gling bod kyi rig gzhung gces skyong khang
W1KG22266,chos 'byor rgya mtsho
W4CZ302685,chos 'byor rgya mtsho
W10237,t.g. dhongthog
W1KG26087,t.g. dhongthog
W1KG26091,t.g. dhongthog
W30322,t.g. dhongthog
W10311,t.g. dhongthog
W4CZ328559,rag rdo blo bzang bstan 'dzin
W1GS75055,sha bo pad+ma rgyal
W20851,ngag dbang tshe ring
W00EGS1017077,tshul khrims dpal ldan
W8LS16600,rnam rgyal phun tshogs
W23477,don 'grub rdo rje
W00KG09215,don 'grub rdo rje
W3CN412,bsod nams rab brtan
W8LS67572,bsod nams rdo rje
W22095,sku sger yig tshang
W1KG14797,blo bzang bstan dar
W1KG21091,tsewang dorjee
W1KG12958,lhun grub bstan 'dzin
W8LS18210,ye shes rgya mtsho
W1KG3871,brtson 'grus rgya mtsho
W1KG23617,g.yu sgang 'od zer
W1KG22084,kun dga' tshul khrims rgya mtsho
W3CN15701,bod gzhung sman rtsis khang
W1KG22207,bod gzhung sman rtsis khang
W3CN15703,bod gzhung sman rtsis khang
W3CN17720,bod gzhung sman rtsis khang
W4CZ346647,bod gzhung sman rtsis khang
W3CN8772,bod gzhung sman rtsis khang
W8LS66224,bod gzhung sman rtsis khang
W4CZ315281,bod gzhung sman rtsis khang
W3CN15704,bod gzhung sman rtsis khang
W3CN15702,bod gzhung sman rtsis khang
W3CN17730,ser smad dpe mdzod khang
W8LS26203,ser smad dpe mdzod khang
W1KG4847,ser smad dpe mdzod khang
W3CN17736,ser smad dpe mdzod khang
W1KG3791,ngag dbang blo bzang
W1KG9088,don 'grub rdo rje
W4CZ1098,tshe ring
W8LS66299,bkras khang rnam rgyal rdo rje
W22720,khenpo shedup tenzin
W1KG89188,khenpo shedup tenzin
W1KG14557,khenpo shedup tenzin
W1KG24246,khenpo shedup tenzin
W23625,tsering paljor
W8LS36530,mkha' mo skyid
W1KG17425,gyonpo tshering
W1KG3867,karma 'phrin las
W1KG23132,gyaltsen choden
W1KG26251,na ga sangs rgyas bstan dar
W1KG22548,dpal ldan rgya mtsho
W3PD1100,mkhan po o rgyan rig 'dzin
W1KG22191,karma mkhas grub
W4CZ1097,dge 'dun rin chen
W1KG506,thupten tsering
W1KG12656,klu lding mkhan chen 'jam dbyangs bstan pa'i nyi ma
