RID,,isLocatedIn,,type
G1052,dpa' ris rdzong,G0DD0169,Wuwei,new isLocatedIn
G435,co ne dgon chen,G2203,co ne,new isLocatedIn
G2208,yun nan,G3198,rgya nag,new isLocatedIn
G1PD108961,Tibet Autonomous Region,G3198,rgya nag,new isLocatedIn
G2207,kan su'u,G3198,rgya nag,new isLocatedIn
G1949,pe cin,G3198,rgya nag,new isLocatedIn
G977,mtsho sngon,G3198,rgya nag,new isLocatedIn
G2491,rong bo,G977,mtsho sngon,new isLocatedIn
G1473,si khron,G3198,rgya nag,new isLocatedIn
G3261,ser shul dgon,G3957,rdza chu kha rdzong,new isLocatedIn
G3494,mgar thar dgon,G2298,rta'u rdzong,new isLocatedIn
G1366,khams sde dge,G1326,khams,new isLocatedIn
G2883,mer chen,G4144,khams nang chen,new isLocatedIn
G529,dzam thang dgon,G3762,'dzam thang,new isLocatedIn
G2086,Nedong,G1115,U,new isLocatedIn
G3CN35,Boyul Lingsum,G571,Ngari,new isLocatedIn
G1365,nyag rong,G3CN36,Rongchen Zhi,new isLocatedIn
G603,nang sog,G584,sog po,new isLocatedIn
G1979,khu re chen mo,G584,sog po,new isLocatedIn
G1398,'bras ljongs,G3188,'phags yul,new isLocatedIn
G1PD110071,'bras ljongs rum bteg,G0DD0212,East Sikkim,new isLocatedIn
G4584,Nemo,G1085,gle,new isLocatedIn
G9CTX15088,Bhairahawa,G0DD0115,Rupandehi,new intermediary isLocatedIn
G2MS14675,Lumbini,G9CTX15088,Bhairahawa,new intermediary isLocatedIn
G3JT12558,bkra shis ljongs,G0DD0101,Palampur,new intermediary isLocatedIn
G3JT12630,d+ha ram sA la,G0DD0058,Kangra,new intermediary isLocatedIn
G3CN1562,Bir,G0DD0058,Kangra,new intermediary isLocatedIn
G3CN32,Spiti,G0DD0069,Lahaul-Spiti,new intermediary isLocatedIn
G3CN1567,Dolanji,G0DD0096,Ochghat,new intermediary isLocatedIn
G3182,la dwags,G0DD0221,Jammu and Kashmir,new intermediary isLocatedIn
G867,bzang dkar,G0DD0222,Kargil,new intermediary isLocatedIn
G00JR3353,he mis byang chub bsam gtan gling,G0DD0223,Hemis,new intermediary isLocatedIn
G2GS1037,rdo rje gdan,G0DD0042,gA yA,new intermediary isLocatedIn
G3JT12629,ka sbug,G0DD0226,West Bengal,new intermediary isLocatedIn
G2CN10953,wA rA Na sI,G0DD0228,Uttar Pradesh,new intermediary isLocatedIn
G1PD110102,sA ra nA tha,G0DD0228,Uttar Pradesh,new intermediary isLocatedIn
G0DD0148,Tohoku,G00KG09752,Japan,new place
G0DD0098,Osaka,G00KG09752,Japan,new place
G0DD0149,Tokyo,G00KG09752,Japan,new place
G0DD0068,Kyoto,G00KG09752,Japan,new place
G0DD0116,Sakyo-ku,G0DD0068,Kyoto,new place
G0DD0011,Bonn,G0DD0044,Germany,new place
G0DD0045,Gottingen,G0DD0044,Germany,new place
G0DD0049,Halle (Saale),G0DD0044,Germany,new place
G0DD0158,Wiesbaden,G0DD0044,Germany,new place
G0DD0151,Toronto,G0DD0018,Canada,new place
G0DD0092,New Taipei City,G0DD0141,tA'i wan,new place
G0DD0140,Taipei,G0DD0141,tA'i wan,new place
G0DD0086,Moscow,G0DD0195,Russia,new place
G0DD0135,St-Petersburg,G0DD0195,Russia,new place
G0DD0014,Buryatia,G0DD0195,Russia,new place
G0DD0073,London,G0DD0035,ing len,new place
G0DD0001,Amsterdam,G0DD0196,Holland,new place
G0DD0102,Paris,G0DD0037,France,new place
G0DD0197,Bretagne,G0DD0037,France,new place
G0DD0106,Plouray,G0DD0037,France,new place
G0DD0114,Rome,G0DD0053,i Ta li,new place
G0DD0003,Arcidosso,G0DD0053,i Ta li,new place
G0DD0002,Andiast,G0DD0138,Switzerland,new place
G0DD0198,Zurich,G0DD0138,Switzerland,new place
G0DD0113,Rikon,G0DD0198,Zurich,new place
G0DD0155,Victoria,G0DD0005,Australia,new place
G0DD0199,Griffith ACT,G0DD0005,Australia,new place
G0DD0081,Manuka,G0DD0199,Griffith ACT,new place
G0DD0004,Auckland,G0DD0200,New Zealand,new place
G0DD0108,Prague,G0DD0201,Czech Republic,new place
G0DD0157,Wien,G0DD0202,Austria,new place
G0DD0156,Washington,G3JT12416,a ri,new place
G0DD0122,Seattle,G0DD0156,Washington,new place
G0DD0127,Shoreline,G0DD0156,Washington,new place
G0DD0093,New York,G3JT12416,a ri,new place
G0DD0054,Ithaca,G0DD0093,New York,new place
G0DD0109,Queens,G0DD0093,New York,new place
G0DD0159,Woodstock,G0DD0093,New York,new place
G0DD0091,New Jersey,G3JT12416,a ri,new place
G0DD0203,Massachusetts,G3JT12416,a ri,new place
G0DD0012,Boston,G0DD0203,Massachusetts,new place
G0DD0132,Somerville (Boston),G0DD0012,Boston,new place
G0DD0204,California,G3JT12416,a ri,new place
G0DD0009,Berkeley,G0DD0204,California,new place
G0DD0019,Cazadero,G0DD0204,California,new place
G0DD0097,Odiyan,G0DD0019,Cazadero,new place
G0DD0070,Larkspur,G0DD0204,California,new place
