location_orig,location_new,name_orig,name_new,uri
"Nonthaburi, Thailand","Nonthaburi, Thailand",Fragile Palm Leaves Foundation,Fragile Palm Leaves Foundation,http://purl.bdrc.io/resource/W1FPL3854
"Nonthaburi, Thailand","Nonthaburi, Thailand",Fragile Palm Leaves Foundation,Fragile Palm Leaves Foundation,http://purl.bdrc.io/resource/W1FPL3987
"Nonthaburi, Thailand","Nonthaburi, Thailand",Fragile Palm Leaves Foundation,Fragile Palm Leaves Foundation,http://purl.bdrc.io/resource/W1FPL4086
"Nonthaburi, Thailand","Nonthaburi, Thailand",Fragile Palm Leaves Foundation,Fragile Palm Leaves Foundation,http://purl.bdrc.io/resource/W1FPL7681
"Nonthaburi, Thailand","Nonthaburi, Thailand",Fragile Palm Leaves Foundation,Fragile Palm Leaves Foundation,http://purl.bdrc.io/resource/W1FPL4920
"Nonthaburi, Thailand","Nonthaburi, Thailand",Fragile Palm Leaves Foundation,Fragile Palm Leaves Foundation,http://purl.bdrc.io/resource/W1FPL1132
"Nonthaburi, Thailand","Nonthaburi, Thailand",Fragile Palm Leaves Foundation,Fragile Palm Leaves Foundation,http://purl.bdrc.io/resource/W1FPL3720
"Nonthaburi, Thailand","Nonthaburi, Thailand",Fragile Palm Leaves Foundation,Fragile Palm Leaves Foundation,http://purl.bdrc.io/resource/W1FPL8712
"Nonthaburi, Thailand","Nonthaburi, Thailand",Fragile Palm Leaves Foundation,Fragile Palm Leaves Foundation,http://purl.bdrc.io/resource/W1FPL2092
"Nonthaburi, Thailand","Nonthaburi, Thailand",Fragile Palm Leaves Foundation,Fragile Palm Leaves Foundation,http://purl.bdrc.io/resource/W1FPL6711
"Nonthaburi, Thailand","Nonthaburi, Thailand",Fragile Palm Leaves Foundation,Fragile Palm Leaves Foundation,http://purl.bdrc.io/resource/W1FPL7680
"Nonthaburi, Thailand","Nonthaburi, Thailand",Fragile Palm Leaves Foundation,Fragile Palm Leaves Foundation,http://purl.bdrc.io/resource/W1FPL1324
"Nonthaburi, Thailand","Nonthaburi, Thailand",Fragile Palm Leaves Foundation,Fragile Palm Leaves Foundation,http://purl.bdrc.io/resource/W1FPL6094
"Nonthaburi, Thailand","Nonthaburi, Thailand",Fragile Palm Leaves Foundation,Fragile Palm Leaves Foundation,http://purl.bdrc.io/resource/W1FPL6432
"Nonthaburi, Thailand","Nonthaburi, Thailand",Fragile Palm Leaves Foundation,Fragile Palm Leaves Foundation,http://purl.bdrc.io/resource/W1FPL3852
"Nonthaburi, Thailand","Nonthaburi, Thailand",Fragile Palm Leaves Foundation,Fragile Palm Leaves Foundation,http://purl.bdrc.io/resource/W1FPL8653
"Nonthaburi, Thailand","Nonthaburi, Thailand",Fragile Palm Leaves Foundation,Fragile Palm Leaves Foundation,http://purl.bdrc.io/resource/W1FPL1306
"Nonthaburi, Thailand","Nonthaburi, Thailand",Fragile Palm Leaves Foundation,Fragile Palm Leaves Foundation,http://purl.bdrc.io/resource/W1FPL6652
"Nonthaburi, Thailand","Nonthaburi, Thailand",Fragile Palm Leaves Foundation,Fragile Palm Leaves Foundation,http://purl.bdrc.io/resource/W1FPL8607
"Nonthaburi, Thailand","Nonthaburi, Thailand",Fragile Palm Leaves Foundation,Fragile Palm Leaves Foundation,http://purl.bdrc.io/resource/W1FPL5153
"Nonthaburi, Thailand","Nonthaburi, Thailand",Fragile Palm Leaves Foundation,Fragile Palm Leaves Foundation,http://purl.bdrc.io/resource/W1FPL6373
"Nonthaburi, Thailand","Nonthaburi, Thailand",Fragile Palm Leaves Foundation,Fragile Palm Leaves Foundation,http://purl.bdrc.io/resource/W1FPL2650
"Nonthaburi, Thailand","Nonthaburi, Thailand",Fragile Palm Leaves Foundation,Fragile Palm Leaves Foundation,http://purl.bdrc.io/resource/W1FPL987
"Nonthaburi, Thailand","Nonthaburi, Thailand",Fragile Palm Leaves Foundation,Fragile Palm Leaves Foundation,http://purl.bdrc.io/resource/W1FPL6826
"Nonthaburi, Thailand","Nonthaburi, Thailand",Fragile Palm Leaves Foundation,Fragile Palm Leaves Foundation,http://purl.bdrc.io/resource/W1FPL6606
"Nonthaburi, Thailand","Nonthaburi, Thailand",Fragile Palm Leaves Foundation,Fragile Palm Leaves Foundation,http://purl.bdrc.io/resource/W1FPL10862
"Nonthaburi, Thailand","Nonthaburi, Thailand",Fragile Palm Leaves Foundation,Fragile Palm Leaves Foundation,http://purl.bdrc.io/resource/W1FPL5154
"Nonthaburi, Thailand","Nonthaburi, Thailand",Fragile Palm Leaves Foundation,Fragile Palm Leaves Foundation,http://purl.bdrc.io/resource/W1FPL4923
"Nonthaburi, Thailand","Nonthaburi, Thailand",Fragile Palm Leaves Foundation,Fragile Palm Leaves Foundation,http://purl.bdrc.io/resource/W1FPL3725
"Nonthaburi, Thailand","Nonthaburi, Thailand",Fragile Palm Leaves Foundation,Fragile Palm Leaves Foundation,http://purl.bdrc.io/resource/W1FPL8049
