location_orig,location_new,name_orig,name_new,url,uri
nor gling bod kyi rig gzhung gces skyong khang /,nor gling bod kyi rig gzhung gces skyong khang /,nor gling bod kyi rig gzhung gces skyong khang /,nor gling bod kyi rig gzhung gces skyong khang /,https://www.tbrc.org/#!rid=W1TLMTGA002239
gsal kha med/,gsal kha med/,gsal kha med/,gsal kha med/,https://www.tbrc.org/#!rid=W1TLMTGA002695
gsal kha med/,gsal kha med/,gsal kha med/,gsal kha med/,https://www.tbrc.org/#!rid=W1TLMTGA002763
gsal kha med/,gsal kha med/,gsal kha med/,gsal kha med/,https://www.tbrc.org/#!rid=W1TLMTGA001447
gsal kha med/,gsal kha med/,gsal kha med/,gsal kha med/,https://www.tbrc.org/#!rid=W1TLMTGA001762
gsal kha med/,gsal kha med/,gsal kha med/,gsal kha med/,https://www.tbrc.org/#!rid=W1TLMTGA002790
gsal kha med/,gsal kha med/,gsal kha med pa/,gsal kha med pa/,https://www.tbrc.org/#!rid=W1TLMTGA003025
gsal kha med/,gsal kha med/,gsal kha med/,gsal kha med/,https://www.tbrc.org/#!rid=W1TLMTGA002684
gsal kha med/,gsal kha med/,sa skya rgyal yongs gsung rab slob gnyer khang /,sa skya rgyal yongs gsung rab slob gnyer khang /,https://www.tbrc.org/#!rid=W1TLMTGA001752
gsal kha med/,gsal kha med/,gsal kha med/,gsal kha med/,https://www.tbrc.org/#!rid=W1TLMTGA002527
gsal kha med/,gsal kha med/,gsal kha med/,gsal kha med/,https://www.tbrc.org/#!rid=W1TLMTGA002724
gsal kha med/,gsal kha med/,gsal kha med/,gsal kha med/,https://www.tbrc.org/#!rid=W1TLMTGA001454
gsal kha med/,gsal kha med/,gsal kha med/,gsal kha med/,https://www.tbrc.org/#!rid=W1TLMTGA002583
gsal kha med/,gsal kha med/,gsal kha med/,gsal kha med/,https://www.tbrc.org/#!rid=W1TLMTGA003006
gsal kha med/,gsal kha med/,gsal kha med/,gsal kha med/,https://www.tbrc.org/#!rid=W1TLMTGA002865
gsal kha med/,gsal kha med/,gsal kha med/,gsal kha med/,https://www.tbrc.org/#!rid=W1TLMTGA002681
gsal kha med/,gsal kha med/,gsal kha med/,gsal kha med/,https://www.tbrc.org/#!rid=W1TLMTGA002470
gsal kha med/,gsal kha med/,gsal kha med/,gsal kha med/,https://www.tbrc.org/#!rid=W1TLMTGA002787
gsal kha med/,gsal kha med/,gsal kha med/,gsal kha med/,https://www.tbrc.org/#!rid=W1TLMTGA002538
gsal kha med/,gsal kha med/,gsal kha med/,gsal kha med/,https://www.tbrc.org/#!rid=W1TLMTGA002318
gsal kha med/,gsal kha med/,gsal kha med/,gsal kha med/,https://www.tbrc.org/#!rid=W1TLMTGA002847
gsal kha med/,gsal kha med/,Archana/,Archana/,https://www.tbrc.org/#!rid=W1TLMTGA003067
gsal kha med/,gsal kha med/,gsal kha med/,gsal kha med/,https://www.tbrc.org/#!rid=W1TLMTGA002608
gsal kha med/,gsal kha med/,gsal kha med/,gsal kha med/,https://www.tbrc.org/#!rid=W1TLMTGA003039
gsal kha med/,gsal kha med/,gsal kha med/,gsal kha med/,https://www.tbrc.org/#!rid=W1TLMTGA002606
gsal kha med/,gsal kha med/,gsal kha med/,gsal kha med/,https://www.tbrc.org/#!rid=W1TLMTGA001788
gsal kha med/,gsal kha med/,gsal kha med/,gsal kha med/,https://www.tbrc.org/#!rid=W1TLMTGA002862
gsal kha med/,gsal kha med/,gsal kha med/,gsal kha med/,https://www.tbrc.org/#!rid=W1TLMTGA002702
gsal kha med/,gsal kha med/,gsal kha med/,gsal kha med/,https://www.tbrc.org/#!rid=W1TLMTGA003040
gsal kha med/,gsal kha med/,gsal kha med/,gsal kha med/,https://www.tbrc.org/#!rid=W1TLMTGA002065
gsal kha med/,gsal kha med/,gsal kha med/,gsal kha med/,https://www.tbrc.org/#!rid=W1TLMTGA002632
gsal kha med/,gsal kha med/,gsal kha med/,gsal kha med/,https://www.tbrc.org/#!rid=W1TLMTGA002825
gsal kha med/,gsal kha med/,gsal kha med/,gsal kha med/,https://www.tbrc.org/#!rid=W1TLMTGA001664
gsal kha med/,gsal kha med/,gsal kha med/,gsal kha med/,https://www.tbrc.org/#!rid=W1TLMTGA002597
gsal kha med/,gsal kha med/,gsal kha med/,gsal kha med/,https://www.tbrc.org/#!rid=W1TLMTGA001453
