location_orig,location_new,name_orig,name_new,url
rdzogs chen shrI seng /,Dzogchen Shedra,rdzogs chen shrI seng gi spar khang /,rdzogs chen shrI seng gi spar khang /,https://www.tbrc.org/#!rid=W4PD1213
Sakya,Sakya,Sakya Monastery,Sakya Monastery,https://www.tbrc.org/#!rid=W3CN3091
new delhi,Delhi,trayang,trayang,https://www.tbrc.org/#!rid=W23921
new delhi,Delhi,d. gyaltshan & kesang legshay,d. gyaltshan & kesang legshay,https://www.tbrc.org/#!rid=W23435
new delhi,Delhi,nagwang tupgyal,nagwang tupgyal,https://www.tbrc.org/#!rid=W22184
new delhi,Delhi,ngawang topgyal,ngawang topgyal,https://www.tbrc.org/#!rid=W19608
new delhi,Delhi,sharada rani,sharada rani,https://www.tbrc.org/#!rid=W6004
new delhi,Delhi,lama guru deva,lama guru deva,https://www.tbrc.org/#!rid=W30184
new delhi,Delhi,foundation for universal responsibility of HH the 14th Dalai Lama,foundation for universal responsibility of HH the 14th Dalai Lama,https://www.tbrc.org/#!rid=W1KG24531
new delhi,Delhi,paljor publications,paljor publications,https://www.tbrc.org/#!rid=W00KG09731
new delhi,Delhi,don 'grub rdo rje,don 'grub rdo rje,https://www.tbrc.org/#!rid=W14110
new delhi,Delhi,sanje dorji,sanje dorji,https://www.tbrc.org/#!rid=W1KG9844
new delhi,Delhi,ngawang gelek demo,ngawang gelek demo,https://www.tbrc.org/#!rid=W1KG9560
new delhi,Delhi,ldi li bod kyi khang pa/,ldi li bod kyi khang pa/,https://www.tbrc.org/#!rid=W1KG20783
new delhi,Delhi,[s.n.],[s.n.],https://www.tbrc.org/#!rid=W29905
new delhi,Delhi,sanje dorje,sanje dorje,https://www.tbrc.org/#!rid=W26450
new delhi,Delhi,shechen,shechen,https://www.tbrc.org/#!rid=W23723
new delhi,Delhi,sharada rani,sharada rani,https://www.tbrc.org/#!rid=W20531
new delhi,Delhi,b. jamyang norbu,b. jamyang norbu,https://www.tbrc.org/#!rid=W30100
new delhi,Delhi,ngawang topgya,ngawang topgya,https://www.tbrc.org/#!rid=W1KG12544
new delhi,Delhi,young Tibet publication,young Tibet publication,https://www.tbrc.org/#!rid=W8LS16970
new delhi,Delhi,international academy of indian culture,international academy of indian culture,https://www.tbrc.org/#!rid=W00KG09387
new delhi,Delhi,ngawang geleg demo,ngawang geleg demo,https://www.tbrc.org/#!rid=W9752
new delhi,Delhi,tibet house,tibet house,https://www.tbrc.org/#!rid=W1KG23488
new delhi,Delhi,tibet house,tibet house,https://www.tbrc.org/#!rid=W23742
new delhi,Delhi,international academy of indian culture,international academy of indian culture,https://www.tbrc.org/#!rid=W1KG9848
new delhi,Delhi,international academy of indian culture,international academy of indian culture,https://www.tbrc.org/#!rid=W29228
new delhi,Delhi,sharada rani,sharada rani,https://www.tbrc.org/#!rid=W20530
new delhi,Delhi,"nawang phuntsog, sambhota","nawang phuntsog, sambhota",https://www.tbrc.org/#!rid=W1CZ2325
new delhi,Delhi,ngagwang gelek demo,ngagwang gelek demo,https://www.tbrc.org/#!rid=W447
new delhi,Delhi,ngawang sopa,ngawang sopa,https://www.tbrc.org/#!rid=W1KG9724
new delhi,Delhi,tibet house library,tibet house library,https://www.tbrc.org/#!rid=W1022
