Amdo,G1202
Bainang County,G2174
Bairi,G1005
Bairi County,G1052
Baiyu County,G2300
Bathang County,G2305
Beijing,G1949
Bengal,G3CN285
Bhutan,G3205
Bir,G3CN1562
Bodhgaya,G2GS1037
Bumthang,G4716
Chakri Thangzhang,G1721
Chengdu,G10MS19724
China,G3198
Cuopu,G3237
Daocheng County,G2306
Darjeeling,G4394
Dawu County,G2298
Dege,G1539
Dege County,G1539
Dengqen County,G2188
Derge Gonchen,G193
Derong County,G2307
Dharamsala,G3JT12630
Ditsa,G1481
Dolanji,G3CN1567
Drakar Taso,G317
Drakgo Monastery,G4088
Dranang County,G799
Dzachuka,G2301
Dzamthang,G3762
Dzogchen Monastery (Tibet),G16
Dzongsar Monastery (Tibet),G213
Ganden (Tibet),G2571
Garthar Monastery,G3494
Garze,G1538
Golok,G1490
Gonggar County,G2135
Guide,G1136
Gungthang,G3CN461
Gyaca County,G2138
Gyalrong,G1272
Gyaye,G1PD97740
Haibei Prefecture,G2312
Hainan Prefecture,G2317
Hemis Monastery,G00JR3353
Hong Kong,G3192
India,G3188
Inner Mongolia,G603
Jainca County,G3200
Jakhyung,G662
Japan,G00KG09752
Jinchuan County,G2335
Jiulong County,G2311
Jone County,G2203
Jone Monastery,G435
Jyekundo,G869
Kalimpong,G3JT12629
Kangding County,G1135
Kathmandu,G2CN11080
Kathok,G17
Khalkha,G1395
Kham,G1326
Kongpo,G640
Kubum Monastery,G160
Labrang Monastery,G162
Ladakh,G3182
Lanzhou,G580
Larung Gar,G3997
Leh,G1085
Lhasa,G2800
Lhatse County,G2167
Lho Lunkar Monastery,G341
Lhunze County,G1990
Lijiang County,G4236
Litang County,G2304
Loro,G3CN59
Luding County,G2309
Luhou County,G2299
Lumbini,G2MS14675
Maizhokunggar County,G2014
Mangyul,G3166
Mindroling (India),G1866
Mindroling (Tibet),G14
Mongolia,G584
Muksang Monastery (Tibet),G3466
Mustang,G00EGS1017242
Nagarze County,G2136
Nangqen,G4144
Nangqen County,G1467
Nemo,G4584
Nenying,G457
Nepal,G4450
Ngaba,G1196
Ngamring County,G2162
Nyainrong County,G2146
Nyarong,G1365
Olka,G1379
Paro,G836
Pemako,G1977
Phuentsholing,G4490
Qamdo,G576
Qinghai Province,G977
Quxu County,G2128
Ragya Monastery,G398
Rebkong,G2369
Rongdrag County,G2310
Rongwo,G2491
Sa'gya County,G2169
Saga County,G2160
Sarnath,G1PD110102
Sershul Monastery,G3261
Sertar County,G3765
Serxu County,G2301
Shalu Monastery,G1180
Shechen Monastery (Tibet),G20
Shigatse County,G2170
Sikkim,G1398
Solukhumbu,G2490
Songpan County,G2333
Spiti,G3CN32
Swayambhunath,G3156
Tabo Monastery,G1KG17626
Tadong,G1PD96122
Taktse County,G1516
Takure Monastery,G1979
Tarthang Monastery (Tibet),G523
Tashi Lhunpo Monastery,G4841
Thimphu,G4706
Tibet,G1PD108961
Tingri County,G2165
Trongsa,G4713
Tuwacang Monastery,G3222
USA,G3JT12416
Varanasi,G2CN10953
Xiangcheng County,G1103
Xining,G598
Yajiang County,G2303
Zetang,G560
Zhichen Monastery,G1563
Zoi Chongkyir,G916
Zoige County,G1132
