 "placeid" , "placename" ,
 "http://purl.bdrc.io/resource/G2608" , 郭欠寺 ,
 "http://purl.bdrc.io/resource/G2608" , "go che dgon/" ,
 "http://purl.bdrc.io/resource/G2608" , "Goche Gon Gephel Choling" ,
 "http://purl.bdrc.io/resource/G2608" , "go che dge 'phel chos gling" ,
 "http://purl.bdrc.io/resource/G2608" , 顾且寺 ,
 "http://purl.bdrc.io/resource/G2608" , "guqie si" ,
 "http://purl.bdrc.io/resource/G2608" , 果千寺 ,
 "http://purl.bdrc.io/resource/G2608" , "guoqian si" ,
 "http://purl.bdrc.io/resource/G2608" , "go che dgon bshad grwa legs bshad dge ba'i gling" ,
 "http://purl.bdrc.io/resource/G689" , "e 'dam sngon po grong smad/" ,
 "http://purl.bdrc.io/resource/G494" , "dwags stod gling" ,
 "http://purl.bdrc.io/resource/G494" , "stod gling (dwags)" ,
 "http://purl.bdrc.io/resource/G104" , "bkra shis lhun po dgon pa/" ,
 "http://purl.bdrc.io/resource/G104" , "Tashilhunpo" ,
 "http://purl.bdrc.io/resource/G104" , 扎什伦布寺 ,
 "http://purl.bdrc.io/resource/G104" , "gtsang bkra shis lhun po dpal gyi sde chen phyogs thams cad las rnam par rgyal ba'i gling" ,
 "http://purl.bdrc.io/resource/G104" , 扎什伦布寺 ,
 "http://purl.bdrc.io/resource/G104" , "Tashi Lhunpo" ,
 "http://purl.bdrc.io/resource/G104" , 吉祥须弥寺 ,
 "http://purl.bdrc.io/resource/G104" , "zhaxi lunbu si" ,
 "http://purl.bdrc.io/resource/G275" , "zhwa lu dgon/" ,
 "http://purl.bdrc.io/resource/G275" , "zhalu Manostery" ,
 "http://purl.bdrc.io/resource/G275" , 夏鲁寺 ,
 "http://purl.bdrc.io/resource/G275" , "zha lu dgon/" ,
 "http://purl.bdrc.io/resource/G275" , "xialu si" ,
 "http://purl.bdrc.io/resource/G275" , "Zhalu Gon" ,
 "http://purl.bdrc.io/resource/G1951" , "sku 'bum rgyud pa grwa tshang" ,
 "http://purl.bdrc.io/resource/G1951" , "Kumbum Gyupa Dratsang" ,
 "http://purl.bdrc.io/resource/G160" , "sku 'bum dgon/" ,
 "http://purl.bdrc.io/resource/G160" , 塔尔寺 ,
 "http://purl.bdrc.io/resource/G160" , "Kumbum Jampaling" ,
 "http://purl.bdrc.io/resource/G160" , "sku 'bum byams pa gling" ,
 "http://purl.bdrc.io/resource/G160" , "byams pa gling" ,
 "http://purl.bdrc.io/resource/G160" , "gunben xianbalin" ,
 "http://purl.bdrc.io/resource/G160" , 塔儿寺 ,
 "http://purl.bdrc.io/resource/G160" , "ta-er si" ,
 "http://purl.bdrc.io/resource/G160" , 衮本贤巴林 ,
 "http://purl.bdrc.io/resource/G2089" , "mal gro/" ,
 "http://purl.bdrc.io/resource/G2089" , "mal tro/" ,
 "http://purl.bdrc.io/resource/G2089" , "mal dro/" ,
 "http://purl.bdrc.io/resource/G2089" , "mal gro khul/" ,
 "http://purl.bdrc.io/resource/G2089" , "mal gro gung dkar khul/" ,
 "http://purl.bdrc.io/resource/G2089" , "mal gung khul/" ,
 "http://purl.bdrc.io/resource/G77" , "Ganden Jangtse Dratsang" ,
 "http://purl.bdrc.io/resource/G77" , "dga' ldan byang rtse grwa tshang" ,
 "http://purl.bdrc.io/resource/G77" , "byang rtse grwa tshang" ,
 "http://purl.bdrc.io/resource/G4250" , "la stod byang khri skor/" ,
 "http://purl.bdrc.io/resource/G4250" , "byang khri skor/" ,
 "http://purl.bdrc.io/resource/G17" , 噶陀寺 ,
