from:	http://gao.gmxhome.de/tibetisch.htm		
Name	Tibetisch	Chinesisch	Pinyin
Acur	a tshur	阿孜	Azi
Amdo	a mdo	安多	Anduo
Amxung	am gzhung	阿木雄	Amuxiong
Arxog	ar shog	阿秀	Axui
Arza	ar rtsa	阿扎	Azha
Awang	a dbang	阿旺	Awang
Bada	spa zla	巴达	Bada
Bada	dpa' mda'	帮达	Bangda
Baibung	'bras spungs	背崩	Beibeng
Baicai	dpal tshal	巴扎	Bazha
Baidag	pad gdags	白达	Baida
Baidi	dbal di	白地	Baidi
Baima	pad ma	白玛	Baima
Baima	pad ma	白马	Baima
Baimatang	pad ma thang	白玛当	Baimudang
Bainang	pa snam	白朗	Bailang
Bairi	dpal ri	巴日	Bari
Banbar	dpal 'bar	边坝	Bianba
Banbar	dpal 'bar	边坝	Bianba
Bangda	spang mda'	帮达	Bangda
Bangda	spang mda'	帮达	Bangda
Banggai	spang sgal	帮格	Bangge
Bangmêr	sbang mer	帮爱	Bang'ai
Bangoin	dpal mgon	班戈	Ban'ge
Bangring	spang ring	帮仁	Bangren
Bangxing	spang zhing	旁辛	Pangxin
Banjorling	dpal 'byor gling	边觉林	Bianjuelin
Baqên	sbra chen	巴青	Baqing
Baqên	sbra chen	巴青	Baqing
Barong	'ba' rong	巴龙	Balong
Basum	dpa' gsum	巴松	Basong
Baxoi	dpa' shod	八宿	Basu
Bayi Zhen	brgyad gcig grong	八一	Bayi
Bazha	pa bkra	巴扎	Bazha
Bêbar	spe bar	白坝	Baiba
Bênxung	spen gzhung	边雄	Bianxiong
Bianshan	spen ri	边山	Bianshan
Bilung	'bri lung	布龙	Bulong
Biru	'bri ru	比如	Biru
Biru	'bri ru	比如	Biru
Bodoi	spo stod	布多	Buduo
Boiga	spos dga'	波嘎	Boga
Bolo	spo	波萝	Buoluo
Bolo	'bo lo	莫洛	Muoluo
Bomdoi	'brom stod	帮堆	Bangdui
Bomi	spo mes	波密	Bomi
Boqê	spo che	保吉	Baoji
Borong	spo rong	波绒	Borong
Bota	'bo tha	布达	Buta
Buling	spu gling	波林	Bolin
Bumba	'bum pa	莽岭	Mangling
Bumgyê	'bum skyes	木协	Muxie
Burang	spu hreng rdzong	普兰	Pulan
