RID,isLocatedIn,modif type
,,
G1PD108961,G3198,
G2086,G1115,
G3CN36,G571,
,,
G3CN32,G0DD0069,
,,
G0DD0198,G0DD0037,
G0DD0199,G0DD0139,
G0DD0200,G0DD0005,
G0DD0204,G3JT12416,
G0DD0205,G3JT12416,
G0DD0206,G3JT12416,
G0DD0207,G3JT12416,
G0DD0208,G3JT12416,
G0DD0209,G0DD0208,
G0DD0169,G3198,
G0DD0171,G3198,
G0DD0170,G2207,
G0DD0210,G3205,
G0DD0211,G3205,
G0DD0212,G3205,
G0DD0213,G1398,
G0DD0214,G0DD0063,
G0DD0215,G0DD0057,
G0DD0216,G0DD0215,
G0DD0217,G0DD0059,
G0DD0218,G0DD0058,
G0DD0219,G0DD0218,
G0DD0221,G3CN1563,
G0DD0222,G3188,
G0DD0223,G3182,
G0DD0224,G3182,
G0DD0225,G3188,
G0DD0226,G3188,
G0DD0227,G3530,
G0DD0228,G3188,
G0DD0015,G0DD0228,
G0DD0229,G3188,
G0DD0230,G3188,
G0DD0185,G2CN10953,
G0DD0231,G3188,
G0DD0232,G0DD0231,
