Japan	G00KG09752
	Tohoku	G5PL159
	Osaka	G5PL107
	Tokyo	G5PL160
	Kyoto	G5PL77
		Sakyo-ku	G5PL125
Germany	G5PL51
	Gottingen	G5PL52
	Halle (Saale)	G5PL56
	Wiesbaden	G5PL170
Canada	G5PL20
	Toronto	G5PL162
Taiwan	G5PL152
	New Taipei City	G5PL101
	Taipei	G5PL151
Russia	G5PL184
	Moscow	G5PL95
	St-Petersburg	G5PL146
England	G5PL39
	London	G5PL82
Holland	G5PL178
	Amsterdam	G5PL1
France	G5PL41
	Paris	G5PL111
	Bretagne	G5PL179
		Plouray	G5PL115
Italy	G5PL61
	Rome	G5PL123
	Arcidosso	G5PL3
Switzerland	G5PL149
	Andiast	G5PL2
	Zurich	G5PL180
		Rikon	G5PL122
Australia	G5PL5
	Victoria	G5PL167
	Griffith ACT
		Manuka	G5PL90
New Zealand	G5PL181
	Auckland	G5PL4
Hong Kong	G3192
Czech Republic	G5PL182
	Prague	G5PL117
Austria	G5PL183
	Wien	G5PL169
Russia	G5PL184
	Buryatia	G5PL16
USA	G3JT12416
	Washington	G5PL168
		Seattle	G5PL131
		Shoreline	G5PL136
	New York	G5PL102
		Ithaca	G5PL62
		Queens	G5PL118
		Woodstock	G5PL171
	New Jersey	G5PL100
	Massachusetts	G5PL185
		Boston	G5PL14
			Somerville (Boston)	G5PL142
	California	G5PL186
		Berkeley	G5PL11
		Cazadero	G5PL21
			Odiyan	G5PL106
		Larkspur	G5PL79
		Oakland	G5PL104
	New Mexico	G5PL187
		Questa	G5PL119
	Maryland	G5PL91
	Virginia	G5PL188
		Charlottesville	G5PL23
	Pennsylvania	G5PL189
		Philadelphia	G5PL190
			Chenrezig Tibetan Buddhist Center	G5PL25
China	G3198
	Macau	G5PL84
	Beijing	G1949
		Xicheng District	G5PL172
	Shanghai	G5PL134
	Chongqing	G2KR73
	Jiangxi Province	G5PL191
		Ganzhou	G5PL46
	Gansu	G2207
		Wuwei	G5PL192
			Bairi County	G1052
			Bairi	G1005
		Gannan	G2199
			Jone County	G2203
				Jone Monastery	G435
			Xiahe County	G2396
				Labrang Monastery	G162
			Zoi Chongkyir	G916
		Lanzhou	G895
	Yunnan	G2208
		Kunming	G5PL76
	Shandong	G5PL193
		Jinan	G5PL65
	Fujian	G5PL194
		Nanping	G2338
	Tibet Autonomous Region
		to find
			Rongwo	G2491
		Lhasa City
			Maizhokunggar County	G2014
			Quxu County	G2128
			Taktse County	G1516
			Zhol Village	G5PL174
		Shigatse City
			Tashi Lhunpo Monastery	G104
			Narthang Monastery	G225
			Shalu Monastery	G275
			Shigatse County	G2170
			Saga County	G2160
			Bainang County	G2174
			Ngamring County	G2162
			Lhatse County	G2167
			Tingri County	G2165
			Xietongmen County
				Ngulchu Chodzong Monastery	G223
		Nyingchi City
			Pemako	G3478
		Shannan City
			Dranang County	G799
			Gyaca County	G2138
			Lhunze County	G1990
			Nagarze County	G2136
			Gonggar County	G2135
			Nedong District
				Zetang	G560
			Lhozhag	G5PL81
		Nagqu City
			Nyainrong County	G2146
			Sog County
				Tsangdain Monastery	G5PL163
		Ngari Prefecture
		Qamdo	G576
			Dengqen County	G2188
				Khyungpo Tengchen Monastery	G1KR1169
			Gongjue County
				Changlung Monastery	G5PL22
			Zhag'yab	G2183
	Qinghai Province	G977
		Yushu Prefecture	G2324
			Yushu City
				Jyekundo	G869
			Nangqen County	G1467
				Lho Lunkar Monastery	G341
			Merchen	G2883
		Hainan Prefecture	G2317
			Guinan County
				Tuole Monastery	G1912
		Huangnan Prefecture
			Jainca County	G1695
			Ditsa	G1481
		Xining	G598
			Huangzhong County
				Kubum Monastery	G160
			Golok	G1490
				Banma County
					Chakri Thangzhang	G1721
				Maqen	G1754
					Ragya Monastery	G398
				Jiuzhi County
					Ngagyur Taklung Monastery	G1750
			Haixi Prefecture
				Delingha	G5PL31
			Haibei Prefecture	G2312
				Qilian County
					Arik Monastery	G1KR2385
		Haidong Prefecture
			Hualong County
				Tuwacang Monastery	G3222
	Sichuan	G1473
		Garze	G1538
			Garze County
				Zhichen Monastery	G1563
			Litang County	G2304
			Serxu County	G3957
				Sershul Monastery	G3261
			Bathang County	G2305
				Cuopu	G3237
			Dawu County	G2298
				Garthar Monastery	G3494
			Yajiang County	G2303
			Sertar County	G2302
				Nubzur Monastery	G3971
				Larung Gar	G3997
			Dege County	G1539
				Shechen Monastery (Tibet)	G20
				Derge Gonchen	G193
				Dzongsar Monastery (Tibet)	G213
					Dzongsar Shedra (Tibet)	G4874
			Baiyu County	G2300
				Adzom Monastery	G188
				Yarchen Monastery	G3812
			Kangding County	G2308
			Luding County	G2309
			Derong County	G2307
			Jiulong County	G2311
			Daocheng County	G2306
			Luhuo County
				Drakgo Monastery	G5PL35
		Ngaba Prefecture	G636
			Xiaojin County	G2334
			Jinchuan County	G2335
			Barkham	G830
			Heishui	G2332
			Mao County	G4560
			Dzamthang	G3762
				Dzamthang Monastery	G529
			Zoige County	G299
			Hongyuan	G5PL58
			Wenchuan	G2340
			Songpan County	G2333
		Chengdu	G10MS19724
Tibet	G3196
	Kham	G1326
		Nyakrong	G1365
			Adzin Rong (Nyag)	G4654
		Gyalrong	G1272
			Bairotsana Cave	G5PL6
		Dege	G1366
	Jomda	G2376
		Muksang Monastery
	Amdo	G1202
		Golok	G1490
		Rebkong	G2369
		Gartse	G3158
		Bora	G1KR2063
	Kongpo	G640
	U-Tsang	G3186
		Tsang	G1300
			Jomonang	G201
			Tingri	G954
				Shelkar	G221
				Rongbuk	G186
