location_orig,GID,name_orig,name_new,url
pho brang gong dkar/,pho brang gong dkar,'gro ba'i mgon po'i btsun mo/,'gro ba'i mgon po'i btsun mo/,https://www.tbrc.org/#!rid=W4CZ301726
dben pa'i gnas mchog spu gzim byang gling,spu gzim byang gling,rdor dbang,rdor dbang,https://www.tbrc.org/#!rid=W4CZ45267
gting khebs mkhar chen/,gting khebs mkhar chen,chos rgyal ngag gi dbang po phyogs las rnam rgyal/,chos rgyal ngag gi dbang po phyogs las rnam rgyal/,https://www.tbrc.org/#!rid=W4CZ301825
stod lung rdzong /,stod lung rdzong,mtshur dgon nang bstan slob gling nas bsgrigs/,mtshur dgon nang bstan slob gling nas bsgrigs/,https://www.tbrc.org/#!rid=W3CN557
stod lung rdzong /,stod lung rdzong,mtshur dgon nang bstan slob gling nas bsgrigs/,mtshur dgon nang bstan slob gling nas bsgrigs/,https://www.tbrc.org/#!rid=W3CN548
stod lung rdzong /,stod lung rdzong,gnas nang dgon gzhung nas bsgrigs/,gnas nang dgon gzhung nas bsgrigs/,https://www.tbrc.org/#!rid=W3CN561
stod lung rdzong /,stod lung rdzong,mtshur dgon nang bstan slob gling nas bsgrigs/,mtshur dgon nang bstan slob gling nas bsgrigs/,https://www.tbrc.org/#!rid=W3CN554
stod lung rdzong /,stod lung rdzong,mtshur phu dgon gtsug lag dpe rnying phyogs sgrig khang /,mtshur phu dgon gtsug lag dpe rnying phyogs sgrig khang /,https://www.tbrc.org/#!rid=W3CN4738
stod lung rdzong /,stod lung rdzong,mtshur dgon nang bstan slob gling nas bsgrigs/,mtshur dgon nang bstan slob gling nas bsgrigs/,https://www.tbrc.org/#!rid=W3CN558
stod lung rdzong /,stod lung rdzong,mtshur dgon nang bstan slob gling nas bsgrigs/,mtshur dgon nang bstan slob gling nas bsgrigs/,https://www.tbrc.org/#!rid=W3CN552
stod lung /,stod lung,mtshur phu dgon gtsug lag dpe rnying phyogs sgrig khang nas bskrun/,mtshur phu dgon gtsug lag dpe rnying phyogs sgrig khang nas bskrun/,https://www.tbrc.org/#!rid=W3CN5096
stod lung /,stod lung,mtshur dgon nang bstan slob gling nas bsgrigs/,mtshur dgon nang bstan slob gling nas bsgrigs/,https://www.tbrc.org/#!rid=W3CN553
stod lung /,stod lung,mtshur dgon nang bstan slob gling nas bsgrigs/,mtshur dgon nang bstan slob gling nas bsgrigs/,https://www.tbrc.org/#!rid=W3CN549
